record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
1,Yes,Yes, ,13 years old,Female,2 or 3 times,0 times,Always,2,10 or more days,Never,Always,Yes,Yes, , , 
2,No,Yes,No,13 years old,Female,0 times,0 times,Most of the time,3 or more,6 to 9 days,Sometimes,Always,Yes,Yes, , , 
3,Yes,No,No,14 years old,Male,1 time,0 times,Most of the time,3 or more,6 to 9 days,Sometimes,Always,Yes,Yes,No,No,No
4,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes, ,No,No,No,No,No
5,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No, , , 
6,No,Yes,No,13 years old,Male,0 times,1 time,Most of the time,0,3 to 5 days,Most of the time,Always,Yes,Yes,No,No,No
7,No,No,No,14 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No, , , 
8,No,No,No,12 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Never,No,No, , , 
9,Yes,No,No,13 years old,Male,1 time,2 or 3 times,Most of the time,3 or more,6 to 9 days,Most of the time,Most of the time,Yes,Yes, , , 
10,Yes,No,No,14 years old,Female,1 time,0 times,Always,0,6 to 9 days,Sometimes,Never,Yes,Yes, , , 
11,Yes,No,No,15 years old,Male,0 times,1 time,Most of the time,3 or more,3 to 5 days,Most of the time,Always,Yes,Yes,No,No,No
12,Yes,Yes,Yes,13 years old,Female,12 or more times,1 time,Sometimes,3 or more,0 days,Never,Always,No,No, , , 
13,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No, , , 
14,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days, , ,No,No,No,No,No
15,No,No,No,14 years old,Female,0 times,0 times,Most of the time,3 or more, ,Sometimes,Never,Yes, ,No,No,No
16,Yes,No,No,13 years old,Female,1 time,1 time,Always,1,1 or 2 days,Sometimes,Sometimes,Yes,Yes, , , 
17,No,No,Yes,11 years old or younger,Male,0 times,4 or 5 times,Most of the time,3 or more,3 to 5 days,Always,Never,Yes,Yes, , , 
18,No,No,No,13 years old,Male,0 times,0 times,Never,0,1 or 2 days,Sometimes, ,No,Yes, , , 
19,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,3 to 5 days,Rarely,Most of the time,No,Yes, , , 
20,No,No,Yes,13 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Never,Never,Yes,No, , , 
21,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No, , , 
22, ,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Rarely,Never,No,No, , , 
23,No,No,Yes,13 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,0 days,Rarely,Always,Yes,No,No,No,No
24,No,No,No,14 years old,Male,0 times,2 or 3 times,Most of the time,2,0 days,Always,Sometimes,Yes,No,No,Yes,Yes
25,Yes,No,No,13 years old,Male,0 times,1 time,Most of the time,3 or more, ,Sometimes,Never,Yes, , , , 
26,No,No,No,13 years old,Female,0 times,0 times,Sometimes,0,0 days,Rarely,Sometimes,No,No, , , 
27,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Most of the time,Most of the time,No,No, , , 
28,No,No,No,14 years old,Female,1 time,4 or 5 times,Always,3 or more,3 to 5 days,Always,Always,Yes,Yes, , , 
29,Yes,No,No,14 years old,Male,2 or 3 times,2 or 3 times, ,3 or more,0 days,Rarely,Always, ,No,No,No,No
30,Yes,No,No,13 years old,Male,2 or 3 times,0 times,Rarely,2,1 or 2 days,Sometimes, ,No,Yes, , , 
31,No,No,No,13 years old,Female,0 times,1 time,Rarely,3 or more, , , ,No, , , , 
32,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
33,Yes,Yes,Yes,14 years old,Female,1 time,4 or 5 times,Sometimes, ,3 to 5 days,Sometimes, ,No,Yes,No,No,No
34,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
35,Yes,No,Yes,14 years old,Female,0 times,0 times,Most of the time,2,3 to 5 days,Rarely,Sometimes,Yes,Yes, , , 
36,No,No,Yes,14 years old,Male,12 or more times,6 or 7 times,Most of the time,0,3 to 5 days,Always,Never,Yes,Yes, , , 
37,No,No,No,13 years old,Female,0 times,0 times,Rarely,1,0 days,Rarely,Always,No,No, , , 
38,No,No,No,13 years old,Male,0 times,8 or 9 times,Rarely,3 or more,10 or more days,Always,Rarely,No,Yes,No,No,No
39,Yes,No,No,14 years old,Female,0 times,2 or 3 times,Most of the time,1, , , ,Yes, , , , 
40,No,No,Yes,13 years old,Female,0 times,1 time,Rarely,1,0 days,Most of the time,Most of the time,No,No,No,No,No
41,Yes,Yes,Yes,13 years old,Female,4 or 5 times,1 time,Most of the time,3 or more, , , ,Yes, ,No,Yes,No
42,Yes,No,Yes,13 years old,Male,0 times,1 time,Rarely,3 or more,6 to 9 days,Most of the time,Most of the time,No,Yes,No,Yes,No
43,Yes,No,No,15 years old,Male,1 time,0 times,Most of the time,1,1 or 2 days,Never,Sometimes,Yes,Yes,No,No,No
44,No,No,No,14 years old,Female,1 time,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,Yes,No
45, ,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more, , , ,No, , , , 
46,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Rarely,Always,No,Yes,No,No,No
47,No,No,Yes,13 years old,Male,1 time,0 times,Most of the time,3 or more,1 or 2 days,Never,Always,Yes,Yes, , , 
48,No,Yes,Yes,15 years old,Female,1 time,4 or 5 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,No,No
49,No,No,Yes,14 years old,Female,0 times,0 times,Rarely,0,0 days,Sometimes,Sometimes,No,No,No,No,No
50,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
51,Yes,No,Yes,16 years old,Male,0 times,0 times,Most of the time,2,3 to 5 days,Most of the time,Sometimes,Yes,Yes,No,No,No
52,No,Yes,Yes,14 years old,Female,0 times,1 time,Sometimes,3 or more,1 or 2 days,Never,Never,No,Yes, , , 
53,No,Yes,Yes,14 years old,Female,0 times,2 or 3 times,Rarely,1,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
54,Yes,No,No,15 years old,Male,2 or 3 times,1 time,Rarely,3 or more,1 or 2 days,Most of the time,Always,No,Yes, , , 
55,No,Yes,Yes,16 years old,Male,4 or 5 times,2 or 3 times,Most of the time,0,10 or more days,Sometimes,Always,Yes,Yes,No,No,No
56,Yes,Yes,Yes,14 years old,Female,2 or 3 times,0 times,Most of the time,3 or more,0 days,Rarely,Always,Yes,No, , , 
57,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,Yes,No,No
58,No,No,No,15 years old,Male,0 times,4 or 5 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
59,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Most of the time,Always,No,Yes,No,No,No
60,Yes,No,No,15 years old,Female,2 or 3 times,0 times,Rarely,0,0 days,Most of the time,Sometimes,No,No,No,No,No
61,No,No,Yes,15 years old,Female,0 times,0 times,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
62,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
63,No,No,No,15 years old,Female,0 times,1 time,Sometimes,1,1 or 2 days,Rarely,Sometimes,No,Yes, , , 
64,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Rarely,No,No, , , 
65,No,Yes,No,16 years old,Female,1 time,0 times,Most of the time,0,3 to 5 days,Most of the time,Always,Yes,Yes,No,Yes,No
66,No,No,Yes,14 years old,Female,2 or 3 times,0 times,Rarely, ,1 or 2 days,Most of the time,Always,No,Yes, , , 
67,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
68,No,No,Yes,14 years old,Male,1 time,10 or 11 times,Rarely, ,6 to 9 days,Sometimes,Never,No,Yes,No,No,No
69, ,No,No,16 years old,Female,0 times,0 times,Always,0,0 days,Rarely,Never,Yes,No,No,No,No
70,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,Yes
71,No,No,No,14 years old,Male,2 or 3 times,2 or 3 times, , ,6 to 9 days,Always,Rarely, ,Yes, , , 
72,Yes,Yes,No,15 years old,Male,0 times,0 times,Most of the time,1,3 to 5 days,Sometimes, ,Yes,Yes,No,No,No
73,No,No,Yes,16 years old,Male,0 times,1 time,Sometimes, ,0 days,Sometimes,Sometimes,No,No, , , 
74,No,Yes,No,16 years old,Male,0 times,0 times,Most of the time,2,6 to 9 days,Most of the time,Always,Yes,Yes,No,No,No
75,No,Yes,No,14 years old,Male,0 times,1 time, ,2,3 to 5 days,Rarely,Always, ,Yes, , , 
76,No,No,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Sometimes,No,No,No,No,No
77,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,No,No
78,No,Yes,Yes,14 years old,Female,2 or 3 times,2 or 3 times,Always,2,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
79,No,No,Yes,15 years old,Male,0 times,0 times,Always,0,0 days,Always,Never,Yes,No,No,No,No
80,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
81,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
82,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,Yes,No
83,Yes,Yes,No,17 years old,Male,2 or 3 times,0 times,Always,1,1 or 2 days, ,Most of the time,Yes,Yes,No,No,No
84,Yes,No,No,15 years old,Female,0 times,1 time,Rarely,1,1 or 2 days,Never,Always,No,Yes, , , 
85,Yes,Yes,No,15 years old,Female,0 times,0 times,Rarely,1,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
86,No,Yes,Yes,14 years old,Female,0 times,1 time,Sometimes,3 or more, , , ,No, ,No,No,No
87,Yes,No,No,16 years old,Male,0 times,2 or 3 times,Sometimes,1,1 or 2 days,Most of the time,Always,No,Yes, , , 
88,Yes,No,No,15 years old,Male,2 or 3 times,0 times,Rarely,0,1 or 2 days,Rarely,Rarely,No,Yes,No,Yes,No
89,No,Yes,No,15 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Always,Yes,No,No,No,No
90,No,No,Yes,15 years old,Male,2 or 3 times,2 or 3 times,Most of the time,3 or more,1 or 2 days,Sometimes,Never,Yes,Yes, , , 
91,No,Yes,Yes,16 years old,Female,1 time,0 times,Most of the time,2,0 days,Sometimes,Always,Yes,No, , , 
92,Yes,No,Yes,15 years old,Female,0 times,1 time,Most of the time,2,3 to 5 days,Sometimes,Sometimes,Yes,Yes, , , 
93,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes, , , 
94,No,Yes,Yes,15 years old,Female,1 time,0 times,Most of the time, ,3 to 5 days, ,Sometimes,Yes,Yes, , , 
95,No,Yes,Yes,17 years old,Male,1 time,1 time,Sometimes,2,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
96,No,No,No,15 years old,Female,0 times,0 times,Rarely,2,0 days,Rarely, ,No,No, , , 
97,Yes,Yes,Yes,16 years old,Female,1 time,1 time,Sometimes,1,3 to 5 days,Sometimes,Always,No,Yes,No,No,No
98,No,No,No,16 years old,Female,0 times,0 times,Never,1,0 days,Never,Always,No,No, , , 
99,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
100,No,No,No,16 years old,Male,0 times,0 times,Never,1,10 or more days,Rarely,Never,No,Yes,No,No,No
101,Yes,Yes,No,15 years old,Female,1 time,2 or 3 times,Sometimes,2,3 to 5 days,Rarely,Rarely,No,Yes, , , 
102,No,No,No,15 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Sometimes,No,No, , , 
103,No,No,Yes,15 years old,Female,1 time,0 times,Rarely,1,0 days,Sometimes,Never,No,No, , , 
104,No,No,Yes,15 years old,Female,1 time,0 times,Most of the time,1,0 days,Sometimes,Never,Yes,No, , , 
105,No,No,No,16 years old,Female,0 times,1 time,Never,1,1 or 2 days,Never,Always,No,Yes, , , 
106,No,No,No,17 years old,Female,0 times,0 times,Most of the time,2,6 to 9 days,Rarely,Always,Yes,Yes,No,No,No
107,No,No,Yes,15 years old,Female,1 time,0 times,Sometimes,1,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
108,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No, , , 
109,No,No,No,16 years old,Male,0 times,1 time, ,1, , , , , ,No,No,No
110,No,No,No,17 years old,Female,0 times,2 or 3 times,Always,1,0 days,Sometimes,Never,Yes,No,No,No,No
111,No,Yes, ,17 years old,Female,0 times,0 times,Most of the time,3 or more,3 to 5 days,Rarely,Never,Yes,Yes,No,No,No
112, ,Yes,No,16 years old,Male,1 time,4 or 5 times,Always,0,0 days,Most of the time,Always,Yes,No, , , 
113,No,Yes,Yes,17 years old,Male,1 time,1 time,Most of the time,1,10 or more days,Sometimes,Most of the time,Yes,Yes,No,No,No
114,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
115,Yes,No,No,12 years old,Male,0 times,0 times,Rarely,2,3 to 5 days,Sometimes,Never,No,Yes,No,Yes,No
116,No,No,No,13 years old,Male,1 time,1 time,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
117,Yes,No,No,13 years old,Male,2 or 3 times,0 times,Most of the time,0,0 days,Always,Always,Yes,No,No,Yes,No
118,Yes,No,No,13 years old,Female,2 or 3 times,2 or 3 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
119,Yes,No,No,13 years old,Female,1 time,0 times,Rarely,0,6 to 9 days,Sometimes,Always,No,Yes,No,No,No
120,Yes,No,No,14 years old,Male,0 times,2 or 3 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,Yes,No,No
121,No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,Yes,Yes
122,Yes,Yes,Yes,13 years old,Female,0 times,0 times,Most of the time,1,0 days,Always,Always,Yes,No,No,Yes,No
123,Yes,No,Yes,13 years old,Female,0 times,0 times,Always,1,1 or 2 days,Sometimes,Never,Yes,Yes,No,Yes,No
124,No,Yes,Yes,13 years old,Male,0 times,1 time,Most of the time,3 or more,1 or 2 days,Most of the time,Always,Yes,Yes,No,Yes,No
125,No,Yes,No,14 years old,Male,0 times,4 or 5 times,Most of the time,3 or more,6 to 9 days,Most of the time,Rarely,Yes,Yes,No,Yes,No
126,Yes,No,Yes,13 years old,Female,1 time,0 times,Most of the time,2,3 to 5 days,Most of the time,Never,Yes,Yes,No,No,No
127,No,No,No,13 years old,Male,0 times,0 times,Most of the time,0,0 days,Sometimes,Rarely,Yes,No, , , 
128,No,No,No,13 years old,Female,4 or 5 times,4 or 5 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No, , , 
129,Yes,Yes,Yes,14 years old,Female,10 or 11 times,1 time,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
130,No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes,No,Yes,No
131, ,Yes,No,13 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Always,No,No,No,No,No
132,Yes,No,Yes,13 years old,Female,0 times,2 or 3 times,Rarely,0,1 or 2 days,Sometimes,Always,No,Yes,No,No,No
133,No,Yes,Yes,13 years old,Female,0 times,1 time,Sometimes,1,0 days,Sometimes,Sometimes,No,No,No,No,No
134,No,No,No,13 years old,Male,0 times,6 or 7 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
135,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No, , , 
136,Yes,No,Yes,14 years old,Female,1 time,4 or 5 times,Most of the time,1,0 days,Rarely, ,Yes,No, , , 
137,No,No,Yes,13 years old,Male,1 time,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,Yes,No,No
138,Yes,No,Yes,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Rarely,No,No,No,No,No
139,Yes,Yes,No,13 years old,Female,0 times,1 time,Sometimes,1,3 to 5 days,Sometimes,Rarely,No,Yes,No,No,No
140,No,Yes,Yes,15 years old,Male,1 time,0 times,Rarely,0,0 days,Rarely,Never,No,No,No,No,No
141,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
142,No,No,Yes,14 years old,Male,1 time,0 times,Most of the time,1,3 to 5 days,Most of the time,Most of the time,Yes,Yes,No,Yes,Yes
143,No,Yes,No,14 years old,Female,0 times,0 times,Rarely,2,0 days,Always,Sometimes,No,No, , , 
144,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
145,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
146,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No, , , 
147,No,No,No,14 years old,Male,0 times,2 or 3 times,Never,2,0 days,Most of the time,Most of the time,No,No,No,No,No
148,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
149,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
150,No,No,No,14 years old,Female,0 times,0 times,Sometimes,2,3 to 5 days,Never,Never,No,Yes,No,No,No
151,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,Yes,No
152,No,No,No,14 years old,Female,0 times,0 times,Sometimes, ,0 days,Sometimes,Never,No,No,No,No,No
153,No,No,No,15 years old,Female,0 times,1 time,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
154,Yes,No,No,14 years old,Female,0 times,1 time,Most of the time,0,1 or 2 days,Always,Rarely,Yes,Yes, , , 
155,Yes,No,No,14 years old,Male,1 time,0 times,Sometimes,0,6 to 9 days,Always,Sometimes,No,Yes,No,No,No
156,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No, , , 
157,No,No,Yes,15 years old,Female,1 time,1 time,Sometimes,0,0 days,Always,Rarely,No,No, , , 
158,Yes,No,No,14 years old,Male,0 times,2 or 3 times,Most of the time,2,3 to 5 days,Never,Never,Yes,Yes,No,No,No
159,No,No,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,3 to 5 days,Rarely,Never,No,Yes,No,No,No
160,No,No,Yes,14 years old,Female,0 times,0 times,Sometimes,2,0 days,Always,Always,No,No, , , 
161,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
162,No,No,No,14 years old,Female,4 or 5 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No, , , 
163,Yes,Yes,No,15 years old,Male,0 times,0 times,Most of the time,1,1 or 2 days,Sometimes,Rarely,Yes,Yes,No,Yes,Yes
164,No,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Rarely,Sometimes,No,No,No,Yes,Yes
165,No,No,Yes,14 years old,Female,1 time,4 or 5 times,Rarely,1,0 days,Always,Never,No,No, , , 
166,No,Yes,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,6 to 9 days,Most of the time,Sometimes,Yes,Yes,No,No,No
167,Yes,Yes,Yes,14 years old,Male,1 time,0 times,Most of the time,0,6 to 9 days,Most of the time,Sometimes,Yes,Yes,No,Yes,No
168,No,Yes,No,15 years old,Male,0 times,0 times,Most of the time,3 or more,1 or 2 days,Always,Sometimes,Yes,Yes,No,Yes,No
169,No,No,Yes,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
170,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Never,No,No,No,No,No
171,Yes,Yes,No,15 years old,Female,0 times,1 time,Most of the time,2,0 days,Most of the time,Always,Yes,No,No,Yes,No
172,Yes,No,No,15 years old,Female,0 times,1 time,Most of the time,0,0 days,Always,Never,Yes,No,No,Yes,No
173,Yes,No,No,15 years old,Female,0 times,2 or 3 times,Most of the time,3 or more,1 or 2 days,Always,Most of the time,Yes,Yes,No,No,No
174,Yes,Yes,Yes,15 years old,Female,2 or 3 times,2 or 3 times,Most of the time,0,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
175,Yes,Yes,Yes,15 years old,Female,2 or 3 times,1 time,Always,0,0 days,Rarely,Rarely,Yes,No,No,No,No
176,No,No,Yes,15 years old,Female,1 time,0 times,Most of the time, ,1 or 2 days,Most of the time,Rarely,Yes,Yes,No,No,No
177,Yes,Yes,No,15 years old,Female,0 times,0 times,Sometimes,0,0 days,Most of the time,Rarely,No,No,No,No,No
178,No,Yes,No,15 years old,Male,2 or 3 times,1 time,Rarely,3 or more,6 to 9 days,Most of the time,Always,No,Yes,No,No,No
179,No,No,No,15 years old,Female,0 times,0 times,Most of the time,2,0 days,Sometimes,Rarely,Yes,No,No,Yes,No
180,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No, , , 
181,No,No,No,15 years old,Male,0 times,1 time,Always,0,0 days,Rarely,Never,Yes,No,No,No,No
182,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,Yes,Yes
183,No,No,Yes,15 years old,Female,1 time,1 time,Most of the time,1,0 days,Always,Most of the time,Yes,No, , , 
184,Yes,No,Yes,15 years old, ,2 or 3 times,1 time,Most of the time,3 or more,3 to 5 days,Rarely,Rarely,Yes,Yes, , , 
185,Yes,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Always,Rarely,No,Yes,No,No,No
186,Yes,Yes,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,3 to 5 days,Sometimes,Always,Yes,Yes,No,No,No
187,No,No,No,15 years old,Female,2 or 3 times,4 or 5 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
188,Yes,Yes,No,15 years old,Female,4 or 5 times,2 or 3 times,Sometimes,2,3 to 5 days,Sometimes,Always,No,Yes,No,No,No
189,Yes,Yes,No,15 years old,Male,2 or 3 times,4 or 5 times,Sometimes,0,0 days,Most of the time,Never,No,No,No,No,No
190,Yes,No,No,16 years old,Male,0 times,2 or 3 times,Sometimes,2,6 to 9 days,Never,Always,No,Yes,No,No,No
191,Yes,No,No,15 years old,Female,0 times,1 time,Sometimes,2,0 days,Sometimes,Rarely,No,No,No,No,No
192,No,Yes,Yes,15 years old,Female,1 time,2 or 3 times,Sometimes,1,6 to 9 days,Most of the time,Sometimes,No,Yes,No,No,No
193,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
194,Yes,No,Yes,16 years old,Female,0 times,0 times,Sometimes,1,0 days,Most of the time,Rarely,No,No,No,Yes,Yes
195,Yes,Yes,Yes,15 years old,Male,0 times,0 times,Rarely,1,0 days,Most of the time,Sometimes,No,No,No,No,No
196,Yes,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,6 to 9 days,Most of the time,Rarely,No,Yes,No,No,No
197,No,Yes,Yes,15 years old,Female,4 or 5 times,4 or 5 times,Sometimes,1,1 or 2 days,Rarely,Never,No,Yes,No,Yes,No
198,No, ,Yes,16 years old,Female,2 or 3 times,0 times,Most of the time,2,1 or 2 days,Most of the time, ,Yes,Yes, , , 
199,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No, , , 
200,No,No,Yes,16 years old,Female,0 times,4 or 5 times,Sometimes,2,6 to 9 days,Sometimes,Always,No,Yes,No,Yes,No
201,Yes,Yes,Yes,16 years old,Male,1 time,0 times,Most of the time,2,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
202,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Never,No,No,No,Yes,Yes
203,No,No,No,16 years old,Female,0 times,0 times,Rarely,1,0 days,Rarely,Sometimes,No,No, , , 
204,Yes,No,No,16 years old,Male,0 times,1 time,Rarely, ,1 or 2 days,Always,Sometimes,No,Yes,No,No,No
205,Yes,No,No,16 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
206,No,Yes,No,17 years old,Female,0 times,0 times,Most of the time,0,6 to 9 days,Always,Always,Yes,Yes,No,No,No
207,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
208,No,Yes,Yes,16 years old,Male,0 times,0 times,Rarely,2,0 days,Most of the time,Most of the time,No,No,No,No,No
209,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Most of the time,Most of the time,No,Yes, , , 
210,No,No,No,17 years old, ,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Always,No,Yes, , , 
211,No,Yes,Yes,16 years old,Female,1 time,0 times,Rarely,1,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
212,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No, , , 
213,No,No,Yes,16 years old,Female,0 times,2 or 3 times,Most of the time,1,1 or 2 days,Rarely,Sometimes,Yes,Yes, , , 
214,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No, , , 
215,No,Yes,Yes,17 years old,Male,12 or more times,0 times,Sometimes,0,1 or 2 days,Always,Rarely,No,Yes,No,Yes,No
216,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
217,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Rarely,No,No,No,No,No
218,Yes,Yes,Yes,16 years old,Male,1 time,0 times,Sometimes,0,0 days,Always,Never,No,No,No,Yes,Yes
219,Yes,Yes,Yes,16 years old,Male,12 or more times,10 or 11 times,Sometimes,2,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
220,Yes,No,No,16 years old,Female,1 time,1 time,Sometimes,2,3 to 5 days,Sometimes,Sometimes,No,Yes,No,No,No
221,Yes,Yes,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes, , , 
222,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No, , , 
